ID:
	char_298_susuro

干员代号\Name:
	苏苏洛
	ススーロ
	Sussurro
	수수로

招聘合同\Character Usage:
	罗德岛医疗干员苏苏洛，随时准备冲上去救治伤员。
	ロドス医療オペレーター・ススーロ、救急出動の準備はいつでも出来ている。
	Sussurro, Medic of Rhodes Island, is on standby to provide first aid at the front.
	로도스 아일랜드 메딕 오퍼레이터 수수로는 언제나 상처입은 동료를 도울 준비가 되어있습니다.

合同描述\Character Description:
	她会一板一眼地按照干员手册执行医疗操作。
	マニュアルに忠実に従って医療措置を施す。
	She will strictly follow the operator guidelines when providing medical assistance.
	오퍼레이터 매뉴얼대로 정확하게 의료 조치를 진행한다.

信物\Potential Item:
	一本纸质柔和的日记本。无论过去还是未来的记忆，只要得以记录，就永远不会再消失了吧？
	柔らかい紙の日記帳。これまでの、そしてこれからの記憶を、ここに書いておけば、二度と忘れることはないでしょう？
	A diary made from soft paper. Whether the words record the past or the future, it will always be there as long as it's recorded, right?
	부드러운 종이로 만들어진 일기장. 과거의 기억이든 미래의 기억이든, 기록만 되어 있다면 영원히 사라지지 않겠지?

天赋\Talents:
	微创治疗
	低侵襲治療
	Minimally Invasive Surgery
	최소 침습적 치료

技能\Skills:
	治疗强化·β型
	回復力強化β
	Healing Up β
	치료 강화β

	深度治疗
	ディープヒーリング
	Deep Healing
	심화 치료

语音\Voices:
	博士，休息时间到了。上一轮工作结束之后，您不是还没离开过座位？休息，休息一下，嗯，就现在。
	ドクター、そろそろ休憩の時間だよ。さっきの仕事が終わってから、ずっと座りっぱなしだよね？今すぐ休んで、今すぐ。
	Time for a break, Doctor. Have you been at it since the last round? Take a break now, please.
	박사, 슬슬 휴식 시간이야. 아까 일 끝나고 나서도 계속 앉아 있었지? 지금 당장 쉬어, 지금 당장.

	我的任务，是去定期寻访矿石病患者的情况，有些患者还好相处，但有些患者特别难以沟通呢。不过，这种情况对我来说也不是第一次，不必担心，我会让他们好好了解一下医生的重要性。
	鉱石病患者の定期検診は私の大事な仕事の一つなんだ。話しやすい患者さんもいれば、なかなか話が通じにくい患者さんだっている。でもまぁ、こういうのは慣れてるし、医者の重要性をみんなにしっかり理解してもらえるようにするから、心配しないでね。
	It is my duty to perform regular check-ups on Oripathy patients. Some are personable enough, but a few are hard to communicate with. It's not the first time, though, so worry not, they will understand how vital a doctor is to them.
	광석병 환자의 정기 검진은 내 중요한 업무 중 하나야. 대화하기 쉬운 환자도 있고, 좀처럼 말이 통하지 않는 환자도 있어. 하지만 뭐… 이런 건 익숙하기도 하고, 의사의 중요성을 모두가 확실하게 이해할 수 있도록 할 테니까, 걱정하지 마.

	博士，失忆患者要注意的事，您了解过了吗？可不能太劳累，休息和工作同样重要！
